image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,S140BCD,0.25
test001_2.jpg,B2407UZO,B2407UZO,0.0
test001_3.jpg,B2842PKM,B2842PKM,0.0
test002_1.jpg,BG1352AE,BG1352AE,0.0
test003_1.jpg,B2634UZF,B2634UZF,0.0
test003_2.jpg,B1995JVK,B1995JVK,0.0
test004_1.jpg,B9062VEH,89062VEH,0.125
test005_1.jpg,DD8798KM,DD798KM,0.125
test006_1.jpg,T1329KC,T1329KC,0.0
test007_1.jpg,AD8865EE,AD8865EE,0.0
test008_1.jpg,DK1157AAB,1157AAB,0.2222222222222222
test008_2.jpg,AA1997FE,1997FE,0.25
test009_1.jpg,H8518NA,H8518NA,0.0
test009_2.jpg,K1649GB,1649GB,0.14285714285714285
test010_1.jpg,B9416PCN,B9416PCN,0.0
test010_2.jpg,H1147UY,1147UY,0.14285714285714285
test011_1.jpg,H1691IL,H1691IL,0.0
test011_2.jpg,B9374RI,B9374RI,0.0
test011_3.jpg,D1204AIG,1204AIG,0.125
test012_1.jpg,E1887BA,1887BA,0.14285714285714285
test013_1.jpg,B1439UZP,1439UZP,0.125
test013_2.jpg,B1128WOS,1128WOS,0.125
test014_1.jpg,B1388DFX,1388DFX,0.125
test015_1.jpg,AD1798BT,AD1798BT,0.0
test016_1.jpg,E1517DQ,E1517D0,0.14285714285714285
test017_1.jpg,AD8982FS,AD8982FS,0.0
test018_1.jpg,L7603UA,L7603UA,0.0
test019_1.jpg,AD7HS,AD7HS,0.0
test019_2.jpg,B1959WYK,1959WYK,0.125
test020_1.jpg,AG8634EK,AG8634EK,0.0
test020_2.jpg,AD1329PY,AD1328PY,0.125
test021_1.jpg,BA1709DW,1709DW,0.25
test021_2.jpg,W1236VZ,1236VZ,0.14285714285714285
test022_1.jpg,W1825OZ,18250Z,0.2857142857142857
test022_2.jpg,L1202UE,L1202UE,0.0
test022_3.jpg,L3823IB,382310,0.42857142857142855
test023_1.jpg,B1730JLO,B1730JLO,0.0
test024_1.jpg,B2964TRU,B2964TRU,0.0
test025_1.jpg,S5585LP,S5585LP,0.0
test025_2.jpg,L2858RR,L2858RR,0.0
test025_3.jpg,W1185ZO,1185Z0,0.2857142857142857
test025_4.jpg,9840VU,9840786,0.5
test026_1.jpg,N9652DF,N9652DE,0.14285714285714285
test026_2.jpg,L3836ZX,L3836ZX,0.0
test027_1.jpg,N1905IG,1905IG,0.14285714285714285
test027_2.jpg,B1109CLR,1109CLR,0.125
test027_3.jpg,L1840AA,1840A,0.2857142857142857
test028_1.jpg,L1438EO,1438E0,0.2857142857142857
test028_2.jpg,L1436AAA,L1436AAJ,0.125
test029_1.jpg,W1518WF,1516,0.5714285714285714
